Scene,Video Prompt
11,"[[CLOSE UP SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, previously anxious, now sits upright, his eyes wide and bright with a newfound sense of hope and understanding. A subtle smile plays on his lips as he gazes into the distance. The lighting is soft and uplifting. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
12,"[[MEDIUM SHOT], A young woman (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, previously troubled, now sits in a meditation posture on a soft cushion. Her back is straight, hands resting gently on her lap, and her face is serene, reflecting deep concentration and inner peace. She takes a slow, deep breath. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
13,"[[CLOSE UP SHOT], A tiny seed (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, visibly sprouts from rich, dark soil. A soft, glowing light surrounds the nascent plant, symbolizing the energy of karma and potential. The delicate stem reaches upwards. {vkt_asmr_zen, endothermic_botanics}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
14,"[[CLOSE UP SHOT], A gentle hand (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, delicately drops a small seed into rich, dark, fertile soil. Warm sunlight bathes the scene, highlighting the texture of the earth and the hand. This action symbolizes the sowing of good karma. {vkt_asmr_zen, endothermic_botanics}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
15,"[[WIDE SHOT], A majestic ancient tree (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, with deep, gnarled roots firmly anchored in the earth. Its lush, green canopy spreads wide, reaching towards the sky. Soft sunlight filters through the leaves, creating a dappled pattern on the forest floor. {vkt_asmr_zen, deep_forest_ambience}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
16,"[[CLOSE UP SHOT], A beautiful lotus flower (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, slowly unfurls its petals in the soft glow of dawn. Delicate dew drops cling to the edges, glistening in the light. The background is a gentle blur of green and gold. {vkt_asmr_zen, Lotus & Gold Leaf, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
17,"[[CLOSE UP SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sits in a meditative pose, eyes gently closed. His face reflects deep concentration and a growing sense of peace. The lighting is soft and warm, emphasizing his journey towards inner tranquility. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
18,"[[WIDE SHOT], A crystal-clear stream (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, flows gently through a serene forest. Delicate lotus petals drift peacefully on the water's surface. Sunlight filters through the lush canopy, creating shimmering patterns on the stream bed. {vkt_asmr_zen, deep_forest_ambience, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
19,"[[CLOSE UP SHOT], An ancient, intricately carved Dharma Wheel (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, slowly rotates, radiating a soft, golden light from its center. The details of its spokes and rim are sharp and clear, against a softly blurred, sacred background. {vkt_asmr_zen, Lotus & Gold Leaf, aura_of_enlightenment}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
20,"[[CLOSE UP SHOT], A gentle hand (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, softly placed over another, symbolizing compassion, support, and shared kindness. The skin is soft and warm, and the lighting is tender, creating a sense of connection and comfort. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
21,"[[WIDE SHOT], A serene path (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, lined with blooming white lotus flowers, leads towards an ancient, illuminated pagoda under a full moon. The scene is bathed in soft, ethereal moonlight, creating a tranquil and spiritual atmosphere. {vkt_asmr_zen, Lotus & Gold Leaf, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
22,"[[CLOSE UP SHOT], A flickering candle flame (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, held gently in cupped hands, radiating a soft, warm light. The hands are serene and compassionate, protecting the delicate flame. The background is a soft, blurred glow. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
23,"[[WIDE SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, meditates peacefully on a lush green lawn, surrounded by vibrant nature. The morning sun illuminates his face, which radiates profound serenity and joy. His posture is relaxed and open. {vkt_asmr_zen, deep_forest_ambience, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
24,"[[MEDIUM SHOT], A young woman (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, stands on a hill overlooking a vast, serene landscape. She holds a delicate lotus flower in her hands, a gentle smile on her face, and her eyes gaze peacefully towards the horizon. Soft, warm light surrounds her. {vkt_asmr_zen, Ethereal light, Lotus & Gold Leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
25,"[[WIDE SHOT], An ancient, serene pagoda (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, bathed in soft golden sunlight. Several people are seen in the courtyard, peacefully practicing walking meditation or seated meditation. The atmosphere is deeply tranquil and spiritual, with lush green surroundings. {vkt_asmr_zen, ancient_stone_temple, aura_of_enlightenment}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
26,"CLOSE-UP SHOT on an elder Zen Master (70s, Male, Northern Vietnamese, tranquil expression) sitting in full lotus position, eyes gently closed, a soft golden ethereal light emanating from around his head. His hands are in Dhyana mudra. The background is blurred, showing hints of a serene temple courtyard at dawn. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
27,"MEDIUM SHOT of a wise Nun (55s, Female, Southern Vietnamese, contemplative expression) standing gracefully near a large, ornate temple window, bathed in ethereal light. Behind her, a ancient Bodhi tree is visible outside. She holds a single Bodhi leaf gently in her hands. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
28,"WIDE SHOT of a young male practitioner (25s, Male, Northern Vietnamese, serene gaze) sitting in meditation posture on a mossy rock outcrop, overlooking a vast landscape. Fluffy white clouds drift slowly across a clear blue sky above him. The sun casts a gentle, warm light. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
29,"CLOSE-UP SHOT of an elderly, kind-faced woman (80s, Female, Southern Vietnamese) gently placing one hand over her heart, a soft, warm golden glow emanating from her chest. Her eyes are closed in serene self-compassion. The background is a soft, blurred light, suggesting an interior temple setting. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
30,"CLOSE-UP SHOT of a pair of gentle, open hands (male, 40s) cradling a vibrant, glowing lotus bud that is slowly unfurling. A soft, golden light radiates from the lotus, symbolizing unconditional love. The background is a subtle, out-of-focus temple garden. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
31,"MEDIUM SHOT of a young woman (20s, Female, Northern Vietnamese) in casual, modest attire, standing in a bustling modern city park. She closes her eyes, takes a deep, visible breath, and as she exhales, the city background subtly blurs and softens, replaced by a visual focus on her serene expression and the gentle sway of nearby trees. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
32,"MEDIUM SHOT of two individuals (a male, 50s, Southern Vietnamese, and a younger female, 20s), sitting across from each other in a clean, minimalist tea room bathed in soft, natural light. The man listens attentively, his gaze meeting hers with deep understanding and no judgment. Subtle steam rises from a cup of tea. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
33,"CLOSE-UP SHOT of a gentle hand (female, 40s) releasing a handful of delicate, golden-brown dried leaves into a clear, flowing stream. The leaves drift away peacefully downstream, illuminated by soft sunlight filtering through the trees. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
34,"MEDIUM SHOT of a young monk (30s, Male, Northern Vietnamese) standing with palms pressed together in Namaste mudra, eyes closed in deep compassion. A gentle, warm golden light emanates from his chest and softly expands outwards, symbolizing Metta (loving-kindness). The background is a serene, sunlit temple hall, softly blurred. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
