Scene,Time,Section,Character,Voice,Speaker,Gender,Age,Accent,Timbre,Tone,Pacing,Speed,Words,End Time,State,Audio SFX ASMR Music,Video Prompt,Image Prompt
11,"01:20 - 01:28","Introduction of 'Tánh Biết'","Một người đàn ông trẻ","Vậy là, chỉ cần chú tâm vào hiện tại, tôi có thể thoát khỏi những suy nghĩ tiêu cực? Nghe có vẻ đơn giản, nhưng tôi chưa bao giờ nghĩ đến cách này để sống tốt hơn.","Một người đàn ông trẻ","MALE","Thanh niên 28 tuổi","SOUTHERN_VIETNAMESE","Giọng trầm ấm","Ngạc nhiên, khai sáng","Chậm","1.18x","39","7.5s","ON-SCREEN","Nhạc nền bay bổng, tiếng chuông gió nhẹ nhàng, tiếng chim hót.","[[CLOSE UP SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, previously anxious, now sits upright, his eyes wide and bright with a newfound sense of hope and understanding. A subtle smile plays on his lips as he gazes into the distance. The lighting is soft and uplifting. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
12,"01:28 - 01:36","Introduction of 'Tánh Biết'","Một người phụ nữ trẻ","Tôi sẽ thử tập tánh biết mỗi ngày. Có lẽ đây chính là con đường tôi đang tìm kiếm, để tâm hồn được thanh thản và vượt qua mọi nỗi lo âu trong cuộc sống.","Một người phụ nữ trẻ","FEMALE","Thanh niên 25 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng","Tin tưởng, quyết tâm","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng chuông thiền định nhẹ, tiếng hít thở đều, nhạc nền thanh bình.","[[MEDIUM SHOT], A young woman (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, previously troubled, now sits in a meditation posture on a soft cushion. Her back is straight, hands resting gently on her lap, and her face is serene, reflecting deep concentration and inner peace. She takes a slow, deep breath. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
13,"01:36 - 01:44","Connection to Karma","Người dẫn truyện (Nam)","Tánh biết không chỉ chữa lành tâm hồn, mà còn là cầu nối với luật nhân quả. Mỗi hành động, lời nói, suy nghĩ của ta đều gieo một hạt giống, định hình tương lai sau này.","Người dẫn truyện (Nam)","MALE","Người đàn ông trung niên 45 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm truyền cảm","Trang nghiêm, giáo dục","Chậm","1.18x","39","7.5s","OFF-SCREEN","Tiếng đất vỡ nhẹ, tiếng chồi non vươn lên, nhạc nền huyền diệu, tiếng chuông gió.","[[CLOSE UP SHOT], A tiny seed (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, visibly sprouts from rich, dark soil. A soft, glowing light surrounds the nascent plant, symbolizing the energy of karma and potential. The delicate stem reaches upwards. {vkt_asmr_zen, endothermic_botanics}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
14,"01:44 - 01:52","Connection to Karma","Ni sư từ bi","Lo âu thường xuất phát từ những hạt giống tiêu cực ta đã gieo. Khi có tánh biết, ta nhận ra chúng, và có thể chọn cách hành xử khác, để gieo hạt giống tốt lành.","Ni sư từ bi","FEMALE","Ni sư 55 tuổi","SOUTHERN_VIETNAMESE","Giọng nhẹ nhàng thanh thoát","Từ bi, giải thích","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng đất mềm được xới, tiếng hạt rơi nhẹ, nhạc nền hy vọng, tiếng sáo trúc.","[[CLOSE UP SHOT], A gentle hand (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, delicately drops a small seed into rich, dark, fertile soil. Warm sunlight bathes the scene, highlighting the texture of the earth and the hand. This action symbolizes the sowing of good karma. {vkt_asmr_zen, endothermic_botanics}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
15,"01:52 - 02:00","Connection to Karma","Thầy tuệ giác","Nhận biết được nhân và quả là bước đầu của sự chuyển hóa. Ta không thể thay đổi quá khứ, nhưng ta hoàn toàn có thể thay đổi cách gieo trồng của mình ngay trong hiện tại.","Thầy tuệ giác","MALE","Thầy tuệ giác 70 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm khoan thai","Điềm tĩnh thâm trầm","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng gió thổi qua tán lá cây, nhạc nền hùng vĩ nhưng vẫn an yên, tiếng suối chảy.","[[WIDE SHOT], A majestic ancient tree (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, with deep, gnarled roots firmly anchored in the earth. Its lush, green canopy spreads wide, reaching towards the sky. Soft sunlight filters through the leaves, creating a dappled pattern on the forest floor. {vkt_asmr_zen, deep_forest_ambience}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
16,"02:00 - 02:08","Connection to Karma","Người dẫn truyện (Nữ)","Khi ta gieo hạt giống của tình yêu thương, sự tha thứ và lòng biết ơn, quả lành sẽ tự nhiên đến. Tánh biết giúp ta nhận ra giá trị của mỗi hạt giống, dù là rất nhỏ.","Người dẫn truyện (Nữ)","FEMALE","Nữ trung niên 40 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng truyền cảm","Giải thích, khuyến khích","Chậm","1.18x","39","7.5s","OFF-SCREEN","Tiếng nước chảy nhẹ, tiếng chim hót, nhạc nền thanh thoát, tiếng chuông gió.","[[CLOSE UP SHOT], A beautiful lotus flower (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, slowly unfurls its petals in the soft glow of dawn. Delicate dew drops cling to the edges, glistening in the light. The background is a gentle blur of green and gold. {vkt_asmr_zen, Lotus & Gold Leaf, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
17,"02:08 - 02:16","Connection to Karma","Một người đàn ông trẻ","Tôi hiểu rồi. Lo âu không chỉ là cảm xúc, mà còn là kết quả của nghiệp. Tôi sẽ dùng tánh biết để nhìn lại những hành động của mình, và chọn những điều tốt đẹp.","Một người đàn ông trẻ","MALE","Thanh niên 28 tuổi","SOUTHERN_VIETNAMESE","Giọng trầm ấm","Suy tư, quyết tâm","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng hít thở đều, nhạc thiền êm dịu, tiếng nước chảy róc rách.","[[CLOSE UP SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sits in a meditative pose, eyes gently closed. His face reflects deep concentration and a growing sense of peace. The lighting is soft and warm, emphasizing his journey towards inner tranquility. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
18,"02:16 - 02:24","Transforming Karma with Love","Một người phụ nữ trẻ","Tha thứ cho lỗi lầm của bản thân và người khác là cách ta chuyển hóa nghiệp xấu. Tình yêu thương như dòng nước mát, gột rửa mọi uế tạp trong tâm, đưa ta về nơi bình an.","Một người phụ nữ trẻ","FEMALE","Thanh niên 25 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng","Nhẹ nhàng, tha thứ","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng suối chảy róc rách, nhạc nền thanh khiết, tiếng gió rì rào.","[[WIDE SHOT], A crystal-clear stream (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, flows gently through a serene forest. Delicate lotus petals drift peacefully on the water's surface. Sunlight filters through the lush canopy, creating shimmering patterns on the stream bed. {vkt_asmr_zen, deep_forest_ambience, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
19,"02:24 - 02:32","Transforming Karma with Love","Người dẫn truyện (Nam)","Luật nhân quả không phải là sự trừng phạt, mà là một quy luật tự nhiên của vũ trụ. Với tánh biết và lòng từ bi, ta có thể chủ động tạo ra những nhân lành cho chính mình.","Người dẫn truyện (Nam)","MALE","Người đàn ông trung niên 45 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm truyền cảm","Giáo dục, sâu sắc","Chậm","1.18x","39","7.5s","OFF-SCREEN","Tiếng chuông chùa ngân vang trầm ấm, nhạc nền huyền bí, tiếng gió thoảng.","[[CLOSE UP SHOT], An ancient, intricately carved Dharma Wheel (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, slowly rotates, radiating a soft, golden light from its center. The details of its spokes and rim are sharp and clear, against a softly blurred, sacred background. {vkt_asmr_zen, Lotus & Gold Leaf, aura_of_enlightenment}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
20,"02:32 - 02:40","Transforming Karma with Love","Ni sư từ bi","Mỗi ngày, hãy thực hành lòng từ bi, từ những điều nhỏ nhất. Một lời nói tử tế, một hành động giúp đỡ, một suy nghĩ tích cực đều là những hạt giống quý giá, tạo ra hạnh phúc.","Ni sư từ bi","FEMALE","Ni sư 55 tuổi","SOUTHERN_VIETNAMESE","Giọng nhẹ nhàng thanh thoát","Từ bi, khuyến khích","Chậm","1.18x","39","7.5s","ON-SCREEN","Nhạc nền dịu dàng, tiếng chim hót nhẹ, tiếng gió xào xạc.","[[CLOSE UP SHOT], A gentle hand (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, softly placed over another, symbolizing compassion, support, and shared kindness. The skin is soft and warm, and the lighting is tender, creating a sense of connection and comfort. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
21,"02:40 - 02:48","Transforming Karma with Love","Thầy tuệ giác","Khi ta gieo tình yêu, ta nhận lại tình yêu. Khi ta tha thứ, ta được giải thoát. Tánh biết cho ta sức mạnh để thay đổi nghiệp, để cuộc đời ta trở nên nhẹ nhàng, bình an hơn.","Thầy tuệ giác","MALE","Thầy tuệ giác 70 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm khoan thai","Điềm tĩnh thâm trầm","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng gió thổi qua cánh đồng sen, nhạc nền huyền ảo, tiếng chuông chùa vọng lại.","[[WIDE SHOT], A serene path (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, lined with blooming white lotus flowers, leads towards an ancient, illuminated pagoda under a full moon. The scene is bathed in soft, ethereal moonlight, creating a tranquil and spiritual atmosphere. {vkt_asmr_zen, Lotus & Gold Leaf, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
22,"02:48 - 02:56","Transforming Karma with Love","Người dẫn truyện (Nữ)","Hãy để tình yêu thương là ngọn đuốc soi đường, và tánh biết là la bàn dẫn lối. Cả hai sẽ cùng ta vượt qua mọi sóng gió, đạt đến bến bờ của an lạc và tự do tự tại.","Người dẫn truyện (Nữ)","FEMALE","Nữ trung niên 40 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng truyền cảm","Truyền cảm hứng, an ủi","Chậm","1.18x","39","7.5s","OFF-SCREEN","Tiếng lửa reo nhẹ, nhạc nền huyền diệu, tiếng chuông gió.","[[CLOSE UP SHOT], A flickering candle flame (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, held gently in cupped hands, radiating a soft, warm light. The hands are serene and compassionate, protecting the delicate flame. The background is a soft, blurred glow. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
23,"02:56 - 03:04","Resolution/Call to Action","Một người đàn ông trẻ","Nhờ tánh biết, tôi đã tìm thấy sự bình yên trong chính mình. Lo âu không còn là nỗi ám ảnh, mà là một phần để tôi học cách sống trọn vẹn hơn mỗi ngày.","Một người đàn ông trẻ","MALE","Thanh niên 28 tuổi","SOUTHERN_VIETNAMESE","Giọng trầm ấm","Bình yên, hạnh phúc","Chậm","1.18x","38","7.4s","ON-SCREEN","Tiếng chim hót líu lo, nhạc nền tươi sáng, tiếng gió thổi nhẹ.","[[WIDE SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, meditates peacefully on a lush green lawn, surrounded by vibrant nature. The morning sun illuminates his face, which radiates profound serenity and joy. His posture is relaxed and open. {vkt_asmr_zen, deep_forest_ambience, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
24,"03:04 - 03:12","Resolution/Call to Action","Một người phụ nữ trẻ","Mỗi hơi thở vào, hơi thở ra đều là một món quà. Tánh biết giúp tôi trân trọng từng khoảnh khắc, sống với lòng biết ơn, và lan tỏa tình yêu thương đến mọi người thân yêu.","Một người phụ nữ trẻ","FEMALE","Thanh niên 25 tuổi","NORTHERN_VIETNAMESE","Giọng nhẹ nhàng","Thanh thản, hạnh phúc","Chậm","1.18x","39","7.5s","ON-SCREEN","Tiếng gió nhẹ vuốt ve, nhạc nền bay bổng, tiếng chim hót xa xa.","[[MEDIUM SHOT], A young woman (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, stands on a hill overlooking a vast, serene landscape. She holds a delicate lotus flower in her hands, a gentle smile on her face, and her eyes gaze peacefully towards the horizon. Soft, warm light surrounds her. {vkt_asmr_zen, Ethereal light, Lotus & Gold Leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
25,"03:12 - 03:20","Resolution/Call to Action","Người dẫn truyện (Nam)","Hãy thực hành tánh biết mỗi ngày, để mỗi giây phút trôi qua đều là sự tỉnh thức. Hãy gieo hạt giống của tình thương, để cuộc đời bạn ngập tràn an vui, hạnh phúc, và tự do.","Người dẫn truyện (Nam)","MALE","Người đàn ông trung niên 45 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm truyền cảm","Kêu gọi, tổng kết","Chậm","1.18x","39","7.5s","OFF-SCREEN","Tiếng chuông chùa ngân vang, nhạc nền thiền định, tiếng gió nhẹ, tiếng hít thở đều.","[[WIDE SHOT], An ancient, serene pagoda (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, bathed in soft golden sunlight. Several people are seen in the courtyard, peacefully practicing walking meditation or seated meditation. The atmosphere is deeply tranquil and spiritual, with lush green surroundings. {vkt_asmr_zen, ancient_stone_temple, aura_of_enlightenment}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars.",""
26,"00:00 - 00:08","CONTINUATION","Trưởng lão Thiền sư","Thưa quý vị, tánh biết không chỉ là sự nhận diện, mà còn là một lựa chọn. Lựa chọn an trú trong hiện tại, thay vì để tâm trí bị cuốn trôi bởi những dòng suy nghĩ lo âu vô tận.","Trưởng lão Thiền sư","MALE","Trưởng lão 70 tuổi","NORTHERN_VIETNAMESE","Giọng trầm ấm truyền cảm","Trang nghiêm kính cẩn","Chậm rãi","1.18x","35","7.3s","ON-SCREEN","Nhạc nền thiền định êm đềm, tiếng chuông gió nhẹ nhàng, tiếng chim hót xa xăm.","CLOSE-UP SHOT on an elder Zen Master (70s, Male, Northern Vietnamese, tranquil expression) sitting in full lotus position, eyes gently closed, a soft golden ethereal light emanating from around his head. His hands are in Dhyana mudra. The background is blurred, showing hints of a serene temple courtyard at dawn. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.","An elder Zen Master (70s, Male, Northern Vietnamese, tranquil expression) sitting in full lotus position, eyes gently closed, a soft golden ethereal light emanating from around his head. His hands are in Dhyana mudra. Serene temple courtyard at dawn, blurred background. --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
27,"00:08 - 00:16","CONTINUATION","Ni sư Trí tuệ","Lo âu thường bắt nguồn từ những hạt giống nghiệp chưa được chuyển hóa. Tánh biết giúp ta nhìn rõ nhân duyên, để không còn oán trách mà học cách tha thứ cho chính mình và người khác.","Ni sư Trí tuệ","FEMALE","Nữ trung niên 55 tuổi","SOUTHERN_VIETNAMESE","Giọng nhẹ nhàng thanh thoát","Từ bi an lạc","Nhẹ nhàng","1.18x","36","7.3s","ON-SCREEN","Nhạc thiền 432Hz du dương, tiếng gió thổi nhẹ qua lá Bồ Đề, tiếng chuông chùa ngân xa.","MEDIUM SHOT of a wise Nun (55s, Female, Southern Vietnamese, contemplative expression) standing gracefully near a large, ornate temple window, bathed in ethereal light. Behind her, a ancient Bodhi tree is visible outside. She holds a single Bodhi leaf gently in her hands. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.","A wise Nun (55s, Female, Southern Vietnamese, contemplative expression) standing gracefully near a large, ornate temple window, bathed in ethereal light. Behind her, a ancient Bodhi tree is visible outside. She holds a single Bodhi leaf gently in her hands. --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
28,"00:16 - 00:24","CONTINUATION","Thiền sinh trẻ","Khi những ý niệm tiêu cực chợt đến, tánh biết không phán xét. Nó chỉ nhẹ nhàng quan sát, như nhìn mây trôi trên bầu trời. Ta không cần níu giữ, chúng sẽ tự tan biến thôi.","Thiền sinh trẻ","MALE","Thanh niên 25 tuổi","NORTHERN_VIETNAMESE","Giọng rõ ràng, bình thản","Hướng dẫn, an nhiên","Điềm tĩnh","1.18x","37","7.3s","ON-SCREEN","Nhạc cụ dân tộc (sáo, đàn tranh) phối hợp với âm thanh của gió và không gian mở.","WIDE SHOT of a young male practitioner (25s, Male, Northern Vietnamese, serene gaze) sitting in meditation posture on a mossy rock outcrop, overlooking a vast landscape. Fluffy white clouds drift slowly across a clear blue sky above him. The sun casts a gentle, warm light. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.","A young male practitioner (25s, Northern Vietnamese, serene gaze) sitting in meditation posture on a mossy rock outcrop, overlooking a vast landscape. Fluffy white clouds drift slowly across a clear blue sky above him. The sun casts a gentle, warm light. --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
29,"00:24 - 00:32","CONTINUATION","Cụ bà Từ ái","Đừng tự trách mình vì những lỗi lầm trong quá khứ. Với tánh biết, ta hiểu rằng mọi thứ đều là bài học. Hãy ôm ấp bản thân bằng tình thương, rồi nghiệp duyên sẽ dần chuyển hóa nhẹ nhàng.","Cụ bà Từ ái","FEMALE","Cụ bà 80 tuổi","SOUTHERN_VIETNAMESE","Giọng hiền từ, ấm áp","Bao dung, nhẹ nhàng","Truyền cảm","1.24x","38","7.3s","ON-SCREEN","Tiếng sáo trúc nhẹ nhàng, nhạc nền từ bi mang âm hưởng truyền thống Việt Nam.","CLOSE-UP SHOT of an elderly, kind-faced woman (80s, Female, Southern Vietnamese) gently placing one hand over her heart, a soft, warm golden glow emanating from her chest. Her eyes are closed in serene self-compassion. The background is a soft, blurred light, suggesting an interior temple setting. ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.","An elderly, kind-faced woman (80s, Southern Vietnamese) gently placing one hand over her heart, a soft, warm golden glow emanating from her chest. Her eyes are closed in serene self-compassion. Soft, blurred light, suggesting an interior temple setting. --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands."
